model,depth,sentence,avg_surprisal,max_surprisal
GPT-2,2,"The writer from the village that The doctor that The singer by the river chased questioned, is shouting.",9.753568649291992,16.84220314025879
GPT-2,0,The artist is dancing.,9.26783561706543,15.141607284545898
GPT-2,4,The child with great enthusiasm that The writer in the library that The boy with red shoes that The cat with red shoes that The scientist in the library watched scolded followed blamed is studying sadly.,8.033280372619629,19.8571834564209
GPT-2,4,"The girl with great enthusiasm that The child by the river that The boy during the morning that The teacher with great enthusiasm that The dog in the library met supported called chased, is laughing calmly.",7.598841667175293,17.01020622253418
GPT-2,1,The manager by the river that The lawyer with red shoes admired is barking proudly.,9.939573287963867,15.767663955688477
GPT-2,1,The engineer in the garden that The girl during the morning met is studying.,8.80939769744873,15.38856029510498
GPT-2,0,"The girl from the city, is shouting.",7.714986324310303,12.651901245117188
GPT-2,0,"The girl in the library, is shouting eagerly.",8.498920440673828,16.987754821777344
GPT-2,4,The engineer during the morning that The dog in the library that The doctor near the school that The scientist in the garden that The boy in the library watched visited ignored recognized is resting.,7.714507102966309,18.12746810913086
GPT-2,3,"The dog in the library that The actor from the city that The artist during the morning that The singer in the library chased watched admired, is working.",8.607184410095215,19.997142791748047
GPT-2,2,"The singer from the village that The nurse that The scientist in the library followed watched, is writing.",9.467791557312012,21.645095825195312
GPT-2,0,The lawyer in the garden is barking quickly.,8.781150817871094,15.968803405761719
GPT-2,4,"The scientist in the library that The dog with red shoes that The singer from the village that The lawyer by the river that The student from the city recognized chased followed recognized, runs fast calmly.",8.572561264038086,16.807981491088867
GPT-2,3,The scientist with red shoes that The child from the city that The farmer from the city that The singer from the city helped liked blamed is reading quickly.,8.269796371459961,17.90386962890625
GPT-2,2,The girl in the library that The teacher in the library that The singer with great enthusiasm followed scolded is dancing angrily.,7.931878566741943,15.582877159118652
GPT-2,5,"The boy with great enthusiasm that The professor by the river that The singer from the city that The child from the village that The dog that The manager with great enthusiasm scolded ignored met liked chased, is smiling.",7.463807106018066,16.96746253967285
GPT-2,5,"The girl from the city that The professor in the garden that The engineer near the school that The singer near the school that The student in the library that The child in the library blamed encouraged met recognized watched, is writing.",7.408539295196533,20.199018478393555
GPT-2,2,"The farmer in the library that The scientist with great enthusiasm that The child with red shoes chased liked, is walking.",9.108628273010254,16.62900161743164
GPT-2,3,The player that The actor that The writer in the library that The cat in the library saw questioned saw is shouting.,8.029842376708984,16.504230499267578
GPT-2,5,"The manager in the library that The dog near the school that The engineer in the library that The nurse from the city that The nurse during the morning that The writer from the village chased admired met followed ignored, is barking calmly.",7.654787063598633,21.804000854492188
GPT-2,2,"The manager with red shoes that The boy during the morning that The doctor near the school called questioned, is singing quickly.",9.185447692871094,15.319281578063965
GPT-2,2,The girl during the morning that The manager with red shoes that The artist with great enthusiasm visited chased is smiling.,9.836814880371094,16.41925621032715
GPT-2,1,"The cat in the garden that The boy by the river followed, is sleeping.",7.49933385848999,13.266437530517578
GPT-2,1,The girl during the morning that The engineer with red shoes praised is writing.,9.966099739074707,19.145244598388672
GPT-2,2,"The girl with great enthusiasm that The teacher with red shoes that The nurse from the city visited recognized, is laughing.",8.670284271240234,14.438676834106445
GPT-2,3,The cat in the library that The actor that The professor with great enthusiasm that The singer near the school praised liked helped is smiling silently.,9.26254653930664,14.661362648010254
GPT-2,1,"The actor with great enthusiasm that The girl with red shoes followed, is reading.",9.444194793701172,17.181568145751953
GPT-2,4,The artist during the morning that The professor with great enthusiasm that The singer by the river that The singer by the river that The professor from the city followed supported ignored admired is laughing.,8.175372123718262,19.32525062561035
GPT-2,2,The cat with great enthusiasm that The doctor that The girl near the school praised visited is reading.,9.731217384338379,15.787261962890625
GPT-2,5,"The lawyer in the library that The scientist with great enthusiasm that The student from the city that The writer near the school that The boy by the river that The student encouraged chased recognized chased helped, is smiling.",8.321693420410156,20.372833251953125
GPT-2,5,"The nurse from the city that The artist with red shoes that The boy with great enthusiasm that The student from the village that The professor with great enthusiasm that The doctor recognized blamed praised watched praised, runs fast carefully.",7.834019184112549,20.842689514160156
GPT-2,0,"The student from the city, runs fast silently.",9.172283172607422,16.23118019104004
GPT-2,2,The actor from the village that The farmer from the village that The manager in the library questioned met is studying.,8.502641677856445,21.448034286499023
GPT-2,1,"The writer from the city that The teacher by the river followed, is smiling.",8.712347030639648,20.17058753967285
GPT-2,2,The engineer with red shoes that The dog with red shoes that The girl during the morning supported watched is walking silently.,9.045737266540527,20.285184860229492
GPT-2,0,The singer is laughing carefully.,10.154512405395508,14.898346900939941
GPT-2,5,"The artist near the school that The artist with great enthusiasm that The writer by the river that The nurse near the school that The writer near the school that The farmer from the city encouraged visited blamed questioned watched, is writing silently.",7.707083225250244,19.25682258605957
GPT-2,5,The scientist with great enthusiasm that The engineer that The lawyer in the garden that The singer near the school that The cat with great enthusiasm that The writer visited praised called encouraged supported is smiling slowly.,8.397995948791504,19.60055160522461
GPT-2,4,"The manager that The girl near the school that The manager with red shoes that The boy that The professor near the school followed called admired visited, is shouting.",8.9183988571167,22.692977905273438
GPT-2,3,The farmer in the garden that The student from the village that The lawyer with great enthusiasm that The nurse with great enthusiasm visited liked visited is reading slowly.,7.768955707550049,15.575507164001465
GPT-2,5,The scientist near the school that The player with great enthusiasm that The lawyer from the city that The girl in the garden that The teacher in the library that The farmer from the village supported liked blamed liked chased is writing sadly.,8.14977741241455,18.212642669677734
GPT-2,5,"The lawyer in the garden that The artist with red shoes that The dog during the morning that The engineer with red shoes that The doctor during the morning that The teacher in the library met scolded met followed blamed, runs fast silently.",7.634556293487549,19.762924194335938
GPT-2,0,"The nurse during the morning, is dancing.",8.216638565063477,15.59812068939209
GPT-2,5,"The artist from the city that The actor during the morning that The engineer that The artist with great enthusiasm that The teacher from the city that The engineer with great enthusiasm scolded supported chased questioned blamed, is singing calmly.",7.605098247528076,17.406883239746094
GPT-2,0,"The cat, is sleeping carefully.",9.026799201965332,13.266437530517578
GPT-2,0,The doctor with red shoes is shouting.,8.977866172790527,13.151206016540527
GPT-2,3,The nurse from the city that The actor from the village that The doctor from the village that The singer with red shoes called praised visited runs fast.,7.589240550994873,17.225650787353516
GPT-2,0,"The actor with red shoes, is writing.",8.777619361877441,13.910863876342773
GPT-2,1,The boy with great enthusiasm that The dog by the river helped is walking happily.,8.735116004943848,13.322307586669922
GPT-2,1,The scientist from the village that The boy during the morning supported jumps high.,10.541739463806152,18.33737564086914
GPT-2,2,The girl from the city that The teacher with red shoes that The player in the garden supported blamed is smiling quickly.,9.392505645751953,16.48871612548828
GPT-2,1,The artist during the morning that The nurse from the city admired is writing sadly.,9.956839561462402,20.623987197875977
GPT-2,4,"The professor from the city that The doctor from the village that The professor in the garden that The child with great enthusiasm that The dog from the city chased watched recognized liked, runs fast silently.",7.869769096374512,17.559871673583984
GPT-2,2,The girl that The writer with red shoes that The scientist with red shoes scolded encouraged is resting quickly.,9.05457878112793,17.35051727294922
GPT-2,1,The doctor from the city that The cat in the garden helped is working.,8.487927436828613,16.197811126708984
GPT-2,3,"The dog in the garden that The artist from the city that The dog in the library that The engineer during the morning called watched admired, is barking angrily.",7.934513568878174,19.549449920654297
GPT-2,0,"The farmer with red shoes, is resting carefully.",8.72566032409668,15.575507164001465
GPT-2,2,The scientist from the city that The boy from the village that The girl chased called is smiling quickly.,8.384488105773926,16.638721466064453
GPT-2,3,The lawyer that The lawyer from the village that The child during the morning that The player by the river supported called blamed is sleeping.,9.192733764648438,16.357919692993164
GPT-2,3,"The artist from the village that The girl by the river that The player near the school that The dog near the school visited questioned helped, is laughing eagerly.",8.398075103759766,16.808801651000977
GPT-2,2,"The engineer that The child by the river that The child from the city admired recognized, is studying calmly.",8.987650871276855,17.209354400634766
GPT-2,2,The girl with great enthusiasm that The player that The teacher from the city watched questioned is smiling.,9.258922576904297,15.521710395812988
GPT-2,0,The engineer is laughing.,9.397858619689941,15.38856029510498
GPT-2,1,"The professor by the river that The farmer by the river liked, is sleeping slowly.",8.867273330688477,20.218320846557617
GPT-2,0,The doctor from the village jumps high carefully.,9.849421501159668,16.638704299926758
GPT-2,3,"The dog in the library that The student during the morning that The dog during the morning that The nurse with great enthusiasm helped called supported, is singing.",7.77022123336792,17.509559631347656
GPT-2,2,The boy that The nurse in the library that The child in the library met chased is shouting eagerly.,8.897994041442871,17.54792022705078
GPT-2,3,"The girl near the school that The manager in the garden that The boy from the city that The nurse during the morning watched scolded met, jumps high happily.",8.508967399597168,17.050567626953125
GPT-2,1,The lawyer with great enthusiasm that The engineer admired is reading proudly.,11.728752136230469,22.309370040893555
GPT-2,4,The scientist in the library that The actor from the village that The teacher during the morning that The singer in the library that The teacher near the school recognized watched saw encouraged is writing sadly.,8.521289825439453,19.792591094970703
GPT-2,1,The professor from the village that The scientist with great enthusiasm admired is walking.,9.454545974731445,17.00315284729004
GPT-2,2,"The farmer in the garden that The singer with great enthusiasm that The manager near the school followed chased, is walking.",9.074787139892578,16.00090217590332
GPT-2,4,"The boy from the city that The nurse by the river that The scientist near the school that The lawyer near the school that The lawyer near the school saw chased admired encouraged, is studying angrily.",7.7047529220581055,22.145334243774414
GPT-2,2,The manager near the school that The lawyer with great enthusiasm that The doctor with red shoes saw encouraged jumps high eagerly.,10.517932891845703,19.769773483276367
GPT-2,3,The teacher near the school that The writer in the garden that The teacher in the garden that The dog with red shoes encouraged followed questioned is sleeping.,8.024479866027832,18.522735595703125
GPT-2,3,The farmer with red shoes that The manager near the school that The artist from the city that The engineer helped followed saw jumps high.,8.977437973022461,16.956256866455078
GPT-2,1,The writer near the school that The professor near the school chased is singing sadly.,10.05563735961914,21.132434844970703
GPT-2,1,"The artist in the garden that The player with red shoes helped, is writing calmly.",9.332347869873047,18.801374435424805
GPT-2,2,"The boy in the library that The professor by the river that The actor with red shoes admired praised, is laughing slowly.",9.016671180725098,15.161924362182617
GPT-2,0,The professor from the village is reading.,8.810566902160645,14.51608657836914
GPT-2,4,"The manager in the garden that The child with red shoes that The dog during the morning that The scientist from the village that The dog near the school liked blamed chased ignored, runs fast happily.",8.439427375793457,18.43804168701172
GPT-2,4,The artist during the morning that The artist from the village that The professor near the school that The dog near the school that The engineer from the village liked scolded questioned followed is barking.,7.844488143920898,17.809707641601562
GPT-2,3,"The dog from the city that The student in the library that The writer by the river that The actor in the library called questioned saw, is dancing.",7.66290807723999,17.552099227905273
GPT-2,2,The writer from the village that The engineer that The doctor with red shoes questioned followed is smiling.,9.92617130279541,22.23912811279297
GPT-2,2,The child from the city that The girl with great enthusiasm that The actor from the village liked blamed is studying calmly.,9.178997039794922,19.16511344909668
GPT-2,4,"The girl with great enthusiasm that The lawyer in the garden that The writer that The engineer with great enthusiasm that The artist from the city called encouraged liked followed, is smiling proudly.",7.775356292724609,20.1077823638916
GPT-2,4,"The scientist during the morning that The writer with great enthusiasm that The actor with great enthusiasm that The girl from the village that The student with red shoes watched blamed saw met, is writing.",8.042109489440918,20.807941436767578
GPT-2,5,"The professor in the garden that The engineer with great enthusiasm that The boy with great enthusiasm that The cat that The child near the school that The child with great enthusiasm ignored admired helped called visited, is writing sadly.",7.470059394836426,19.436750411987305
GPT-2,2,"The teacher by the river that The engineer in the garden that The player by the river praised recognized, is singing.",8.579926490783691,22.420488357543945
GPT-2,1,"The engineer from the city that The teacher from the city called, is singing.",8.177983283996582,18.650564193725586
GPT-2,3,"The teacher in the library that The artist from the village that The dog from the city that The player near the school called supported praised, jumps high.",7.929666519165039,18.761632919311523
GPT-2,0,"The doctor near the school, is sleeping.",8.498824119567871,14.83857536315918
GPT-2,3,"The scientist from the village that The girl that The dog with red shoes that The girl recognized scolded recognized, is dancing.",8.555161476135254,14.85940933227539
GPT-2,1,The dog with great enthusiasm that The scientist with great enthusiasm called is shouting sadly.,9.171112060546875,17.531003952026367
GPT-2,1,"The engineer with great enthusiasm that The doctor during the morning saw, is dancing.",9.23923397064209,16.72809410095215
GPT-2,5,The cat near the school that The artist that The teacher during the morning that The singer from the city that The teacher with red shoes that The lawyer with great enthusiasm watched praised supported helped blamed is laughing.,8.521181106567383,16.924861907958984
GPT-2,1,The singer with great enthusiasm that The engineer from the city met is resting.,9.81357479095459,21.41371726989746
GPT-2,1,"The boy near the school that The teacher during the morning watched, is singing eagerly.",8.96255111694336,15.90673542022705
GPT-2,5,"The lawyer near the school that The doctor near the school that The artist with great enthusiasm that The writer in the garden that The artist during the morning that The cat visited watched visited liked praised, is smiling.",7.646294593811035,17.829240798950195
GPT-2,2,"The professor from the city that The teacher from the village that The writer during the morning questioned chased, is studying.",8.166016578674316,17.303585052490234
GPT-2,5,The lawyer by the river that The doctor with great enthusiasm that The artist near the school that The girl during the morning that The farmer during the morning that The farmer by the river supported admired chased admired questioned is studying.,8.050021171569824,18.70552635192871
GPT-2,4,The scientist near the school that The professor in the library that The girl during the morning that The engineer by the river that The player near the school saw watched visited followed is working.,8.014167785644531,15.310526847839355
GPT-2,4,The professor during the morning that The professor that The teacher with red shoes that The child from the village that The player in the library liked encouraged praised watched is dancing proudly.,8.32664680480957,16.83270835876465
GPT-2,4,"The lawyer that The professor in the garden that The child during the morning that The engineer in the library that The girl near the school blamed praised met ignored, is sleeping quickly.",8.574620246887207,17.170093536376953
GPT-2,2,The student with red shoes that The artist from the village that The writer during the morning recognized visited is working.,9.01939582824707,13.43287181854248
GPT-2,4,"The manager that The child in the library that The teacher with great enthusiasm that The manager with great enthusiasm that The student from the city followed helped helped admired, is singing carefully.",7.8703227043151855,16.652286529541016
GPT-2,4,"The child during the morning that The professor with great enthusiasm that The farmer from the city that The professor with red shoes that The doctor by the river watched followed questioned followed, is dancing angrily.",8.716887474060059,19.099443435668945
GPT-2,2,"The professor in the garden that The dog by the river that The doctor near the school saw called, is barking.",8.162567138671875,15.455206871032715
GPT-2,3,The girl in the library that The teacher during the morning that The scientist that The teacher from the village scolded recognized scolded is shouting sadly.,8.05678653717041,16.14463996887207
GPT-2,2,The actor with red shoes that The lawyer near the school that The teacher near the school saw visited is shouting angrily.,9.04696273803711,16.866792678833008
GPT-2,3,The writer with red shoes that The artist near the school that The girl during the morning that The nurse in the garden questioned questioned liked is laughing quickly.,9.122822761535645,15.478179931640625
GPT-2,2,"The girl in the library that The singer with great enthusiasm that The artist from the village watched praised, is writing slowly.",8.856422424316406,15.921347618103027
GPT-2,0,The artist with great enthusiasm is resting.,9.032371520996094,15.394092559814453
GPT-2,2,The girl from the village that The player that The player during the morning supported praised is laughing.,8.77637767791748,18.120790481567383
GPT-2,3,"The scientist from the village that The dog near the school that The girl in the library that The cat helped liked called, is sleeping proudly.",8.325804710388184,16.560821533203125
GPT-2,1,The nurse in the library that The child with red shoes liked is laughing.,9.126463890075684,15.59812068939209
GPT-2,2,"The nurse from the city that The artist during the morning that The child in the garden saw recognized, is laughing eagerly.",8.647488594055176,15.59812068939209
GPT-2,0,The professor is walking.,9.9476957321167,13.39240550994873
GPT-2,5,The dog near the school that The boy that The lawyer in the garden that The actor from the village that The boy during the morning that The student by the river recognized chased liked scolded encouraged is dancing sadly.,8.490829467773438,17.378040313720703
GPT-2,0,The artist from the village is studying sadly.,9.109170913696289,18.226137161254883
GPT-2,1,"The dog by the river that The student from the city ignored, is studying.",8.257048606872559,16.575969696044922
GPT-2,1,"The teacher near the school that The cat in the library supported, is resting calmly.",8.759174346923828,15.513473510742188
GPT-2,0,"The professor in the garden, is barking sadly.",8.778087615966797,14.448555946350098
GPT-2,1,"The dog near the school that The singer by the river chased, is shouting calmly.",9.874731063842773,16.090839385986328
GPT-2,4,The player during the morning that The engineer with great enthusiasm that The actor that The lawyer in the library that The writer supported chased praised helped is singing quickly.,9.110998153686523,17.896425247192383
GPT-2,2,The artist in the library that The dog that The dog with great enthusiasm chased blamed runs fast.,9.339150428771973,17.195945739746094
GPT-2,4,"The artist near the school that The lawyer near the school that The professor in the library that The doctor near the school that The boy near the school supported saw scolded watched, is smiling.",6.659259796142578,20.344772338867188
GPT-2,1,The doctor in the library that The child in the library praised is singing.,8.365660667419434,16.087913513183594
GPT-2,0,The engineer jumps high.,11.641429901123047,15.38856029510498
GPT-2,0,The scientist in the garden jumps high.,9.274568557739258,14.85940933227539
GPT-2,5,The actor from the city that The cat with red shoes that The player during the morning that The actor that The engineer during the morning that The actor by the river encouraged liked ignored liked blamed is barking.,8.814886093139648,21.3306941986084
GPT-2,1,The scientist from the village that The farmer from the city liked is walking angrily.,9.04891586303711,16.730775833129883
GPT-2,3,The artist in the library that The player that The singer in the garden that The student by the river met supported met runs fast quickly.,8.908382415771484,17.285375595092773
GPT-2,4,"The teacher from the village that The artist from the city that The child during the morning that The writer during the morning that The nurse from the village admired encouraged saw chased, is barking.",7.164830684661865,22.285911560058594
GPT-2,0,"The teacher with red shoes, is singing slowly.",8.517823219299316,14.008142471313477
GPT-2,0,The scientist from the city is shouting eagerly.,9.495863914489746,17.89111328125
GPT-2,2,The writer near the school that The student with great enthusiasm that The teacher from the village chased praised is reading.,9.120162963867188,17.729761123657227
GPT-2,3,The doctor in the library that The professor from the city that The teacher by the river that The doctor with great enthusiasm praised scolded questioned is dancing eagerly.,8.24450397491455,16.4366512298584
GPT-2,1,"The dog during the morning that The nurse by the river recognized, is reading.",9.411111831665039,15.843755722045898
GPT-2,0,"The girl in the library, is sleeping silently.",7.76256799697876,12.527275085449219
GPT-2,0,The doctor by the river is shouting.,8.132248878479004,13.151206016540527
GPT-2,1,The engineer with great enthusiasm that The player from the village helped is working.,9.232765197753906,16.566349029541016
GPT-2,5,"The girl that The teacher that The student near the school that The actor by the river that The teacher in the library that The professor by the river admired met watched called met, is writing calmly.",7.7785444259643555,19.679157257080078
GPT-2,0,The doctor during the morning is working carefully.,8.095571517944336,13.833590507507324
GPT-2,3,"The student with great enthusiasm that The player from the village that The cat in the library that The singer in the library saw questioned met, is walking.",8.451041221618652,17.362354278564453
GPT-2,1,The girl from the village that The professor near the school called is dancing.,8.232138633728027,16.042898178100586
GPT-2,4,The engineer from the city that The player in the garden that The girl with red shoes that The scientist by the river that The dog by the river chased called saw followed is laughing.,7.911018371582031,16.854206085205078
GPT-2,2,The student with red shoes that The singer in the garden that The student from the city supported encouraged is studying.,8.886740684509277,14.648429870605469
GPT-2,2,The manager with red shoes that The child with great enthusiasm that The actor in the library recognized recognized is smiling.,9.504976272583008,16.78563117980957
GPT-2,2,The dog near the school that The writer in the library that The cat near the school called met is shouting angrily.,8.273639678955078,15.419405937194824
GPT-2,0,"The farmer from the village, is singing.",7.311508655548096,15.575507164001465
GPT-2,1,"The player near the school that The engineer in the garden chased, is writing.",9.360820770263672,18.86619758605957
GPT-2,3,"The actor near the school that The student from the city that The singer with red shoes that The boy chased supported encouraged, is smiling slowly.",9.152588844299316,17.023752212524414
GPT-2,0,"The scientist in the library, is shouting.",8.678288459777832,14.85940933227539
GPT-2,1,The player near the school that The writer from the village visited is studying.,8.765835762023926,14.507678031921387
GPT-2,1,The engineer in the library that The engineer with red shoes admired is sleeping silently.,9.825407981872559,15.38856029510498
GPT-2,3,The cat from the village that The nurse by the river that The lawyer from the city that The scientist saw met admired is studying.,8.35604190826416,19.85310935974121
GPT-2,0,The doctor during the morning is sleeping proudly.,9.363178253173828,19.80809211730957
GPT-2,5,The singer that The farmer in the garden that The actor with great enthusiasm that The singer from the village that The teacher in the garden that The doctor during the morning met admired supported ignored followed is studying.,7.74808931350708,23.187620162963867
GPT-2,3,"The scientist that The manager that The player from the village that The player during the morning encouraged encouraged saw, is walking.",8.732244491577148,19.160184860229492
GPT-2,0,"The teacher, is barking slowly.",9.938673973083496,16.674962997436523
GPT-2,5,The boy in the library that The actor by the river that The dog from the village that The boy in the library that The nurse near the school that The player with red shoes helped recognized ignored liked visited is smiling angrily.,7.76193380355835,17.206974029541016
GPT-2,5,"The engineer with great enthusiasm that The dog from the village that The singer near the school that The actor with red shoes that The child during the morning that The farmer met called recognized encouraged scolded, is sleeping carefully.",8.580842971801758,20.32916831970215
GPT-2,0,"The professor by the river, is resting calmly.",8.723134994506836,15.778168678283691
GPT-2,3,"The writer near the school that The farmer that The lawyer from the village that The manager by the river visited visited watched, is resting sadly.",8.719622611999512,19.51613426208496
GPT-2,2,The lawyer near the school that The nurse with red shoes that The farmer with great enthusiasm visited recognized is laughing quickly.,10.087568283081055,18.0054874420166
GPT-2,1,"The dog in the library that The farmer near the school ignored, is singing calmly.",9.00107479095459,16.903657913208008
GPT-2,1,"The dog that The artist from the city chased, is studying slowly.",9.373981475830078,14.772445678710938
GPT-2,3,"The dog from the city that The girl in the garden that The doctor with great enthusiasm that The cat with red shoes saw admired ignored, is writing.",8.701715469360352,19.89519500732422
GPT-2,0,"The teacher from the city, is resting.",8.24285888671875,15.940408706665039
GPT-2,1,The engineer that The artist from the city questioned is reading.,10.001380920410156,15.38856029510498
GPT-2,2,The teacher from the city that The student during the morning that The artist near the school praised saw is writing quickly.,8.675601959228516,14.396775245666504
GPT-2,4,"The dog in the library that The writer near the school that The doctor with red shoes that The girl near the school that The girl in the library supported praised encouraged liked, is resting.",7.43683385848999,19.492002487182617
GPT-2,4,The cat in the library that The professor during the morning that The actor in the garden that The artist in the garden that The child with great enthusiasm praised watched followed supported is dancing silently.,7.732641220092773,19.552854537963867
GPT-2,2,The child that The artist in the garden that The boy during the morning watched met is walking carefully.,8.917030334472656,16.11664581298828
GPT-2,4,"The cat from the city that The lawyer that The nurse near the school that The writer by the river that The artist by the river called watched liked ignored, jumps high slowly.",8.260335922241211,17.384052276611328
GPT-2,1,"The student from the city that The doctor near the school met, is resting.",8.789026260375977,16.920978546142578
GPT-2,0,The student with great enthusiasm is sleeping.,8.449056625366211,13.897316932678223
GPT-2,5,The scientist that The artist during the morning that The farmer from the city that The singer from the village that The singer from the city that The player with great enthusiasm chased watched blamed met praised is shouting.,7.761437892913818,21.0689697265625
GPT-2,5,"The nurse in the garden that The artist that The manager that The doctor from the city that The student with red shoes that The actor with red shoes followed followed liked watched questioned, is dancing carefully.",7.836805820465088,19.266414642333984
GPT-2,3,The engineer by the river that The boy that The manager in the garden that The artist from the village helped liked called is studying slowly.,8.60672664642334,15.38856029510498
GPT-2,1,The lawyer that The cat with great enthusiasm blamed is dancing sadly.,11.497220039367676,16.559484481811523
GPT-2,2,The boy from the city that The doctor that The farmer by the river ignored praised is writing happily.,9.249288558959961,14.80797290802002
GPT-2,2,"The nurse near the school that The dog in the library that The student near the school met helped, is singing.",8.570324897766113,18.575542449951172
GPT-2,2,"The doctor during the morning that The boy with red shoes that The engineer near the school liked saw, jumps high happily.",9.408282279968262,17.092838287353516
GPT-2,1,The dog during the morning that The doctor ignored jumps high carefully.,11.235507011413574,19.856115341186523
GPT-2,4,"The lawyer near the school that The teacher in the library that The scientist with great enthusiasm that The artist that The boy from the village chased praised saw recognized, runs fast carefully.",8.946380615234375,17.829240798950195
GPT-2,2,The nurse during the morning that The engineer from the village that The student from the village saw called jumps high.,8.50865364074707,18.272546768188477
