sentence,depth
The girl that The girl that The student that The cat helped liked chased runs fast.,3
The teacher that The cat that The dog that The dog that The student that The teacher that The cat helped saw saw saw scolded admired is barking.,6
The cat that The student that The teacher that The teacher that The student that The girl liked liked chased scolded scolded is barking.,5
The teacher that The student that The girl that The teacher that The teacher scolded scolded helped admired runs fast.,4
The cat is reading.,0
The boy is sleeping.,0
The student that The cat that The girl that The teacher admired chased chased runs fast.,3
The student runs fast.,0
The girl is studying.,0
The dog that The cat that The cat that The student that The student that The cat saw chased admired saw scolded is studying.,5
The teacher that The boy that The teacher that The dog that The teacher that The girl that The girl that The cat liked admired helped scolded liked admired liked jumps high.,7
The dog that The student scolded is sleeping.,1
The dog that The teacher that The cat that The boy that The cat that The student that The dog that The dog that The boy saw chased chased admired saw saw admired scolded runs fast.,8
The girl that The student that The girl that The dog liked helped saw is reading.,3
The teacher that The student that The student that The girl helped liked helped is reading.,3
The boy that The student that The cat that The student that The dog that The teacher that The girl that The girl that The cat chased saw admired saw scolded admired liked helped jumps high.,8
The student that The dog that The teacher that The dog that The teacher that The cat liked saw admired liked saw runs fast.,5
The teacher that The girl that The boy that The boy that The student that The dog helped helped helped admired chased is barking.,5
The cat jumps high.,0
The girl that The cat that The boy admired admired jumps high.,2
The dog that The student that The dog that The cat that The girl that The boy liked chased chased saw chased is studying.,5
The cat that The cat that The girl liked admired runs fast.,2
The dog that The dog that The cat that The girl that The boy that The teacher admired admired saw admired admired is studying.,5
The girl that The teacher that The student saw saw is studying.,2
The teacher that The boy that The boy that The boy that The girl chased chased helped chased is studying.,4
The girl that The dog saw runs fast.,1
The boy that The student that The boy helped helped is barking.,2
The dog that The cat that The student that The student that The boy that The cat admired saw scolded saw scolded is reading.,5
The teacher is reading.,0
The boy that The student that The dog that The boy that The teacher admired admired helped scolded is sleeping.,4
The girl that The student that The student chased saw is barking.,2
The cat that The student liked is sleeping.,1
The student that The student that The teacher that The boy that The girl that The boy that The student that The girl scolded scolded saw helped liked scolded scolded is barking.,7
The teacher that The girl that The girl that The girl scolded chased helped is reading.,3
The student that The cat that The girl that The dog that The student saw saw liked saw is barking.,4
The dog runs fast.,0
The boy that The girl that The cat that The student that The cat that The cat that The girl that The boy admired liked saw helped saw helped chased is sleeping.,7
The cat that The student saw is reading.,1
The cat that The dog that The cat that The cat that The cat that The boy saw chased saw chased helped is sleeping.,5
The girl that The teacher that The student that The dog liked saw chased is studying.,3
The cat that The teacher that The cat that The teacher that The boy that The girl that The student that The girl admired chased chased liked liked chased helped is barking.,7
The cat that The teacher that The girl admired chased is studying.,2
The boy that The cat that The boy that The dog scolded scolded admired runs fast.,3
The student that The dog that The cat liked chased is reading.,2
The cat that The student that The boy that The teacher that The dog helped saw saw helped jumps high.,4
The teacher that The cat that The dog helped helped jumps high.,2
The girl that The teacher that The teacher that The teacher that The student chased chased chased admired jumps high.,4
The teacher that The girl helped is sleeping.,1
The dog that The girl that The girl saw liked is studying.,2
The student is reading.,0
The boy that The cat that The dog liked admired is reading.,2
The girl that The girl scolded is reading.,1
The boy that The teacher that The boy liked helped is studying.,2
The dog that The boy that The dog that The cat scolded helped helped is sleeping.,3
The dog that The girl that The boy that The teacher chased chased helped is sleeping.,3
The teacher that The teacher that The teacher scolded saw is barking.,2
The dog that The dog that The student that The cat that The teacher saw saw chased helped is reading.,4
The boy that The dog that The girl that The dog that The girl that The girl that The teacher that The boy that The cat helped liked chased liked helped scolded chased scolded is studying.,8
The girl that The student that The teacher that The teacher that The girl admired helped scolded liked runs fast.,4
The teacher that The student that The dog that The student that The boy that The student that The cat scolded chased scolded scolded liked liked is reading.,6
The boy that The teacher that The cat saw admired is barking.,2
The boy that The cat liked is barking.,1
The teacher that The boy that The teacher that The girl that The boy that The student that The student scolded saw helped liked chased admired jumps high.,6
The girl is barking.,0
The dog that The teacher that The student that The teacher that The boy that The teacher that The girl that The student liked saw admired chased helped scolded admired is barking.,7
The girl that The cat that The girl that The dog that The boy that The teacher that The boy helped helped helped admired chased chased is reading.,6
The girl that The girl that The girl that The dog that The teacher that The cat that The girl that The cat scolded scolded helped saw liked chased saw is sleeping.,7
The student that The girl that The boy that The student that The cat saw admired chased liked jumps high.,4
The dog that The teacher that The cat that The dog admired admired chased is barking.,3
The cat that The student that The teacher that The boy chased scolded helped is sleeping.,3
The boy that The boy that The cat that The student that The student admired helped admired scolded is barking.,4
The teacher that The boy chased runs fast.,1
The teacher that The dog that The teacher that The student that The girl chased helped liked scolded is sleeping.,4
The boy that The cat that The student saw scolded runs fast.,2
The cat that The teacher that The cat that The teacher that The student admired liked admired scolded jumps high.,4
The student is studying.,0
The student jumps high.,0
The student is studying.,0
The boy that The student that The cat that The dog that The dog that The dog that The dog that The dog that The girl saw liked saw liked liked admired admired helped is barking.,8
The student that The student that The boy that The cat that The student that The teacher that The dog that The cat that The cat saw chased admired chased saw chased helped admired is barking.,8
The cat that The boy liked is reading.,1
The teacher that The girl that The dog liked helped is reading.,2
The teacher that The girl that The cat that The student that The teacher admired helped chased helped runs fast.,4
The student that The teacher that The dog that The boy that The girl that The student chased scolded liked admired helped is barking.,5
The teacher that The boy scolded is sleeping.,1
The cat that The cat that The girl that The teacher that The teacher that The student that The cat liked liked chased saw scolded admired is reading.,6
The girl that The dog that The boy that The boy that The girl scolded chased saw admired jumps high.,4
The boy that The girl that The teacher that The girl liked admired helped is reading.,3
The cat is studying.,0
The teacher that The teacher that The cat that The boy that The dog that The cat that The cat that The cat that The girl scolded scolded scolded liked scolded admired chased scolded runs fast.,8
The student that The boy that The dog that The cat scolded liked admired is sleeping.,3
The cat that The boy that The cat that The student that The boy that The cat that The cat that The girl that The girl saw admired admired liked chased scolded saw chased is reading.,8
The cat is sleeping.,0
The student that The cat that The student that The dog that The teacher that The girl that The boy that The girl chased helped liked saw scolded saw helped is sleeping.,7
The girl that The teacher that The girl helped helped runs fast.,2
The boy that The student that The student that The girl that The student that The girl that The student liked chased scolded chased saw scolded is barking.,6
The cat that The teacher that The teacher that The teacher that The student that The girl that The dog admired scolded liked helped scolded helped jumps high.,6
The teacher that The girl that The girl saw liked is sleeping.,2
The student jumps high.,0
The teacher that The girl liked jumps high.,1
The student that The girl that The cat that The teacher admired saw helped is reading.,3
The boy that The girl that The dog that The dog that The dog that The cat scolded liked saw helped chased jumps high.,5
The boy that The teacher that The girl that The teacher that The teacher that The teacher that The teacher liked admired admired saw scolded helped is reading.,6
The student that The girl that The boy that The cat that The boy that The dog admired scolded scolded scolded saw runs fast.,5
The girl is barking.,0
The student that The teacher that The boy that The girl that The cat that The boy that The cat that The boy that The cat helped helped liked chased scolded liked scolded admired is barking.,8
The dog that The cat that The student that The girl that The dog that The cat that The dog that The boy admired admired liked scolded helped helped scolded is reading.,7
The teacher is barking.,0
The girl that The teacher that The boy that The dog that The cat that The boy that The boy that The girl that The cat admired chased helped liked liked admired helped scolded is reading.,8
The student is reading.,0
The dog that The dog that The girl that The girl liked liked chased is barking.,3
The girl is reading.,0
The cat that The girl that The dog that The teacher that The boy chased chased helped liked jumps high.,4
The boy that The boy that The student that The dog that The boy chased admired saw chased is studying.,4
The teacher that The boy that The dog that The girl that The dog chased admired scolded saw is studying.,4
The teacher that The cat that The dog that The boy that The dog that The student that The cat scolded chased admired scolded admired liked is barking.,6
The student that The dog that The girl that The boy scolded helped chased is sleeping.,3
The student that The teacher helped is reading.,1
The cat that The cat that The cat that The student saw liked helped is studying.,3
The boy that The cat that The student that The girl chased scolded saw is studying.,3
The girl that The girl that The dog that The teacher that The student that The dog that The cat that The boy that The student helped liked saw admired admired admired saw admired is sleeping.,8
The cat that The teacher that The dog that The dog that The teacher that The dog that The boy saw saw admired chased chased scolded jumps high.,6
The girl that The teacher chased runs fast.,1
The dog that The student that The student that The cat that The dog that The teacher that The girl that The cat that The student chased scolded helped chased helped helped liked saw is barking.,8
The cat that The cat liked is sleeping.,1
The dog that The cat admired is barking.,1
The girl that The girl that The dog that The dog that The girl that The cat that The student liked saw admired liked saw liked jumps high.,6
The boy that The dog that The girl that The cat helped scolded admired is reading.,3
The boy that The girl saw is reading.,1
The cat that The girl that The dog that The boy scolded admired scolded is barking.,3
The cat that The boy that The girl that The boy that The girl that The student that The girl liked saw helped helped helped chased is barking.,6
The teacher that The teacher that The teacher that The girl chased scolded chased is barking.,3
The cat is barking.,0
The cat that The boy that The student that The dog that The boy that The boy that The teacher saw chased chased saw saw saw is studying.,6
The girl that The student that The teacher that The girl that The student that The cat that The boy admired admired admired liked saw saw jumps high.,6
The dog that The student that The boy admired admired is reading.,2
The teacher jumps high.,0
The cat that The boy that The girl that The student that The boy that The dog liked helped saw chased liked is reading.,5
The student that The student that The girl that The dog that The girl that The dog that The dog that The teacher liked scolded liked scolded admired liked scolded is studying.,7
The girl that The teacher chased jumps high.,1
The cat that The cat that The student chased admired is sleeping.,2
The teacher that The dog that The dog that The boy that The student that The teacher that The teacher admired liked chased helped liked liked runs fast.,6
The teacher that The girl that The teacher that The girl that The student that The cat that The teacher that The cat scolded admired liked chased scolded liked saw is barking.,7
The boy that The teacher that The boy that The cat that The cat that The dog admired liked admired scolded chased is reading.,5
The teacher that The cat that The dog that The cat that The student saw liked helped chased jumps high.,4
The boy that The student admired is sleeping.,1
The teacher that The dog that The cat that The teacher admired helped liked is reading.,3
The teacher that The girl that The dog that The student that The cat that The girl liked helped chased scolded chased is reading.,5
The teacher that The student that The teacher that The teacher that The girl that The dog helped admired scolded liked chased is studying.,5
The student is sleeping.,0
The boy that The teacher that The student admired admired is studying.,2
The girl that The teacher chased is reading.,1
The girl that The girl that The cat that The boy liked liked helped jumps high.,3
The cat is sleeping.,0
The student that The girl that The teacher that The teacher that The teacher that The girl that The teacher helped chased helped helped liked helped runs fast.,6
The student that The teacher that The dog helped helped is reading.,2
The boy that The student chased is reading.,1
The student that The dog that The teacher that The cat that The girl admired liked chased liked jumps high.,4
The teacher that The teacher that The boy chased chased runs fast.,2
The teacher that The teacher that The teacher that The boy that The dog that The girl saw helped liked saw chased is reading.,5
The girl is sleeping.,0
The cat that The teacher that The boy that The teacher that The cat that The girl that The dog that The cat liked chased saw saw admired liked helped is studying.,7
The student is reading.,0
The girl that The dog that The cat that The student that The teacher helped liked helped scolded is barking.,4
The teacher that The dog that The girl that The cat that The girl that The boy chased liked saw scolded admired runs fast.,5
The boy that The girl that The teacher that The teacher that The boy that The girl that The boy that The student helped saw scolded liked scolded liked liked is sleeping.,7
The girl that The boy that The dog liked liked is sleeping.,2
The student that The student that The student chased helped is barking.,2
The teacher that The student that The teacher saw saw is reading.,2
The student that The teacher that The dog that The girl admired saw helped is sleeping.,3
The cat that The boy chased is barking.,1
The girl that The boy that The girl liked scolded is barking.,2
The boy runs fast.,0
The boy jumps high.,0
The dog that The girl chased is barking.,1
The dog that The student that The dog admired admired is barking.,2
The girl that The boy that The teacher that The cat helped helped liked is barking.,3
The cat is sleeping.,0
The student that The student that The student that The girl that The cat chased scolded admired saw is sleeping.,4
The dog that The boy admired is reading.,1
The cat that The student that The dog that The cat that The cat that The girl that The girl that The student that The cat chased chased saw scolded saw helped liked liked is studying.,8
The boy that The teacher that The student that The teacher helped helped scolded jumps high.,3
The student that The student that The boy that The girl that The dog that The girl that The dog that The boy admired helped chased scolded liked admired admired is sleeping.,7
The dog that The boy that The student that The student that The dog that The boy that The dog helped chased saw chased liked liked is barking.,6
The teacher that The cat that The dog that The girl that The girl that The girl that The cat that The cat that The dog liked helped chased chased saw helped chased scolded is studying.,8
The teacher that The dog saw is studying.,1
The teacher that The dog that The teacher that The teacher that The cat that The girl that The cat that The cat helped saw saw admired chased admired liked is barking.,7
The teacher that The student helped is sleeping.,1
The student that The teacher that The boy helped helped is barking.,2
The teacher that The cat helped is studying.,1
The teacher that The girl that The boy that The girl that The cat that The dog that The student that The girl that The boy helped helped chased saw saw admired saw chased is sleeping.,8
The cat that The cat that The dog that The dog that The boy saw saw chased saw is reading.,4
The teacher that The student that The student that The girl that The teacher that The teacher that The boy that The boy liked chased saw chased chased helped admired is sleeping.,7
The cat that The cat that The dog that The cat that The girl liked liked chased admired runs fast.,4
The girl is barking.,0
The student that The student that The teacher that The girl that The cat that The boy scolded saw helped saw chased is sleeping.,5
The dog that The boy that The girl that The dog that The teacher chased liked admired admired jumps high.,4
The dog that The dog that The girl that The dog that The girl scolded admired helped liked jumps high.,4
The girl that The cat chased is studying.,1
The girl that The teacher chased is sleeping.,1
The teacher that The dog that The cat that The girl that The teacher that The teacher that The girl helped liked scolded admired liked admired is reading.,6
The dog that The teacher that The teacher that The girl that The girl that The student that The teacher that The student scolded helped chased helped liked admired scolded is sleeping.,7
The teacher jumps high.,0
The boy that The dog that The girl that The girl that The girl helped admired helped chased is studying.,4
The cat that The cat that The teacher that The teacher that The dog that The teacher liked liked helped scolded saw is studying.,5
The boy that The boy that The boy that The boy that The student that The student that The student that The girl admired admired scolded scolded liked saw chased runs fast.,7
The girl that The girl that The student that The student saw chased scolded is reading.,3
The dog that The student that The teacher that The girl chased liked helped jumps high.,3
The dog that The cat that The boy that The teacher chased liked liked is sleeping.,3
The boy that The teacher that The student liked chased jumps high.,2
The student that The student that The cat saw liked runs fast.,2
The boy that The student that The cat that The girl that The boy that The teacher scolded chased admired helped liked runs fast.,5
The girl that The teacher that The cat that The dog saw helped admired is reading.,3
The student that The cat that The boy that The student that The dog that The student that The cat that The dog that The boy saw scolded liked scolded helped admired saw scolded is barking.,8
The cat is barking.,0
The boy that The dog that The girl that The dog that The girl helped scolded liked liked is reading.,4
The girl that The cat liked is sleeping.,1
The girl that The cat that The boy scolded scolded jumps high.,2
The student that The dog that The teacher that The cat that The student that The student that The teacher that The boy that The teacher helped admired saw saw scolded helped saw saw is reading.,8
The cat that The girl that The girl scolded admired is sleeping.,2
