sentence,depth
The student that the student scolded that the student chased that the teacher scolded that the dog helped is barking.,4
The cat is reading.,0
The cat that the student admired that the teacher scolded that the cat scolded that the dog saw that the dog chased that the cat chased is barking.,6
The dog that the cat scolded is reading.,1
The teacher that the boy helped that the teacher chased is sleeping.,2
The dog that the student scolded jumps high.,1
The teacher jumps high.,0
The girl that the teacher helped that the teacher saw is reading.,2
The dog that the girl saw that the teacher helped that the cat saw is sleeping.,3
The student runs fast.,0
The teacher that the cat admired that the boy admired runs fast.,2
The student that the student admired that the boy scolded that the girl saw is barking.,3
The boy that the dog admired that the dog scolded that the dog admired that the teacher liked is sleeping.,4
The teacher jumps high.,0
The cat that the boy helped that the girl chased that the teacher saw is sleeping.,3
The boy that the cat saw that the teacher liked that the teacher scolded that the girl admired that the teacher liked that the boy scolded is reading.,6
The girl that the student saw that the student chased that the boy admired that the teacher saw that the girl scolded runs fast.,5
The dog that the dog saw that the dog helped that the teacher admired that the boy chased is barking.,4
The dog is reading.,0
The teacher is studying.,0
The dog that the teacher saw that the dog helped that the teacher scolded jumps high.,3
The student jumps high.,0
The girl is sleeping.,0
The teacher that the boy admired that the student helped that the boy chased that the dog liked that the girl scolded is studying.,5
The dog that the cat chased that the dog scolded that the teacher liked that the girl admired that the cat saw that the student chased that the boy helped is studying.,7
The teacher that the teacher liked is sleeping.,1
The cat that the teacher chased that the student liked that the student helped that the dog admired that the boy helped that the girl helped that the dog admired that the dog helped is studying.,8
The teacher that the boy admired that the student chased that the student scolded is studying.,3
The girl that the teacher chased that the teacher admired that the student admired jumps high.,3
The girl that the cat chased that the dog saw that the boy scolded that the girl helped that the girl scolded that the girl liked that the student helped that the dog chased jumps high.,8
The student that the student saw that the boy admired that the cat admired that the girl scolded that the student helped is barking.,5
The teacher that the cat scolded that the girl admired that the boy admired that the student scolded that the student scolded is studying.,5
The cat is barking.,0
The cat that the boy scolded that the cat chased is barking.,2
The teacher that the cat admired that the student scolded that the boy helped that the teacher liked that the student chased is reading.,5
The teacher that the boy scolded that the boy admired is studying.,2
The student that the teacher helped that the dog liked that the student admired that the girl helped that the girl scolded is studying.,5
The boy that the boy chased that the student admired runs fast.,2
The cat that the student admired that the student saw that the cat helped that the dog scolded is studying.,4
The teacher that the boy chased is sleeping.,1
The student that the girl helped that the teacher scolded is sleeping.,2
The dog that the student saw that the boy saw that the cat helped that the cat scolded that the cat helped jumps high.,5
The boy is studying.,0
The teacher that the teacher liked that the boy liked that the student admired that the dog admired is barking.,4
The girl that the student scolded that the dog helped jumps high.,2
The student that the student liked is sleeping.,1
The teacher that the girl helped that the boy saw that the dog chased that the student scolded that the cat helped that the teacher admired that the girl scolded jumps high.,7
The dog that the girl helped that the boy saw that the teacher scolded is sleeping.,3
The teacher that the girl scolded that the student liked that the cat scolded that the dog admired is sleeping.,4
The teacher is sleeping.,0
The boy that the boy saw that the cat admired that the teacher chased that the cat saw that the boy liked that the dog scolded that the cat liked is barking.,7
The dog that the cat liked is studying.,1
The girl that the student scolded that the boy saw that the teacher chased that the teacher saw that the girl saw is studying.,5
The teacher that the boy admired that the dog helped that the student scolded is sleeping.,3
The girl that the dog admired that the teacher scolded that the cat admired that the cat admired that the girl admired that the cat saw that the girl saw is reading.,7
The dog that the cat liked that the teacher helped is reading.,2
The teacher that the dog admired that the student helped that the dog scolded is studying.,3
The teacher that the girl admired that the boy liked is barking.,2
The student that the boy scolded that the dog saw that the dog admired that the teacher chased is barking.,4
The cat that the cat liked that the teacher scolded is barking.,2
The girl that the dog scolded that the dog saw that the cat helped that the student chased jumps high.,4
The boy that the student liked jumps high.,1
The girl that the girl admired that the girl scolded is studying.,2
The girl is studying.,0
The student that the dog liked that the cat saw is reading.,2
The girl that the dog liked is sleeping.,1
The dog that the student saw that the girl helped jumps high.,2
The boy that the cat helped that the teacher admired that the student chased jumps high.,3
The student that the boy saw that the student chased that the boy scolded is studying.,3
The student that the dog helped that the teacher chased jumps high.,2
The teacher that the girl liked that the dog saw that the student liked that the cat liked is reading.,4
The boy that the girl chased that the dog admired that the dog liked that the boy helped that the dog liked that the dog saw that the teacher chased that the teacher admired is sleeping.,8
The dog that the girl admired that the boy chased that the boy helped that the student chased is reading.,4
The teacher that the cat admired that the dog scolded that the boy chased that the dog scolded that the student helped that the student liked jumps high.,6
The dog that the dog saw that the student chased is studying.,2
The girl that the cat scolded runs fast.,1
The cat that the boy helped that the teacher chased that the teacher chased that the girl chased that the teacher helped that the boy scolded is barking.,6
The dog is studying.,0
The teacher that the cat helped that the dog admired that the boy liked that the dog liked that the teacher liked that the cat scolded that the boy chased jumps high.,7
The teacher that the boy saw that the girl liked that the teacher saw that the boy liked that the boy liked that the dog liked is barking.,6
The cat that the girl scolded that the dog chased that the boy admired that the boy admired that the boy liked that the girl helped that the cat admired runs fast.,7
The cat that the cat scolded that the dog saw that the student saw that the teacher saw is studying.,4
The dog that the girl admired that the teacher saw that the dog chased is studying.,3
The cat that the teacher helped that the teacher chased that the cat helped is studying.,3
The teacher that the student saw that the teacher chased that the dog admired that the dog chased is studying.,4
The girl that the student chased is sleeping.,1
The boy that the boy helped that the student saw that the teacher saw that the dog admired runs fast.,4
The boy that the cat helped that the student liked is sleeping.,2
The boy that the boy saw that the boy admired that the girl scolded that the girl saw jumps high.,4
The boy is reading.,0
The student is sleeping.,0
The dog is studying.,0
The student that the dog chased that the dog admired that the student helped that the dog liked that the cat admired that the boy saw that the boy liked that the teacher chased is barking.,8
The girl that the girl scolded that the teacher chased that the girl chased that the teacher saw that the dog liked that the cat liked that the teacher helped that the dog admired is sleeping.,8
The dog that the dog helped is reading.,1
The girl that the cat scolded that the dog admired is studying.,2
The boy that the dog saw that the boy scolded that the student helped that the girl saw jumps high.,4
The dog that the cat scolded that the dog helped that the student liked that the student admired that the girl saw is studying.,5
The girl that the student helped is barking.,1
The student that the cat saw that the student helped that the boy saw that the cat admired that the boy saw that the dog chased is studying.,6
The girl that the student helped that the cat helped that the boy chased that the student chased jumps high.,4
The teacher that the teacher helped that the dog admired that the boy saw jumps high.,3
The student runs fast.,0
The boy that the teacher chased that the teacher saw that the student saw that the cat liked that the cat scolded that the dog chased that the cat admired that the girl admired is barking.,8
The boy that the student helped that the teacher helped that the cat chased runs fast.,3
The boy that the dog scolded that the boy scolded that the teacher admired that the dog liked that the boy liked that the cat liked that the girl scolded that the boy admired is studying.,8
The dog runs fast.,0
The student that the teacher chased that the student scolded that the student chased that the dog saw that the teacher saw that the student helped that the teacher saw jumps high.,7
The cat that the girl liked that the dog chased is sleeping.,2
The cat that the boy liked that the cat admired that the dog admired that the cat chased that the teacher saw that the girl admired is sleeping.,6
The cat that the teacher helped that the boy liked that the girl saw that the girl liked that the girl helped that the girl chased is studying.,6
The boy that the boy saw that the girl chased is barking.,2
The teacher is reading.,0
The student that the cat helped runs fast.,1
The cat that the boy chased that the student chased that the girl chased runs fast.,3
The girl that the teacher scolded that the teacher scolded that the girl liked that the girl admired that the teacher helped is barking.,5
The girl that the girl scolded that the cat liked that the girl saw that the cat saw that the girl admired that the girl admired jumps high.,6
The dog that the teacher admired that the girl chased that the student saw that the student liked that the girl saw is reading.,5
The student jumps high.,0
The teacher that the cat scolded that the dog helped that the teacher scolded that the teacher helped that the teacher chased that the girl admired that the dog helped that the teacher liked jumps high.,8
The dog that the girl helped that the girl scolded that the boy saw that the dog chased that the boy chased that the boy helped that the student admired runs fast.,7
The teacher is sleeping.,0
The student that the student scolded that the girl saw that the girl chased that the student admired that the student admired that the boy chased that the dog scolded that the dog scolded is barking.,8
The boy runs fast.,0
The student that the cat chased that the cat helped that the student liked is reading.,3
The girl jumps high.,0
The student that the student liked that the boy scolded that the cat chased that the girl admired is studying.,4
The cat that the teacher helped that the boy liked that the student chased that the dog helped is sleeping.,4
The teacher that the cat chased that the cat helped that the dog chased that the cat chased is reading.,4
The student that the student helped that the cat scolded that the boy chased that the girl admired that the girl saw that the teacher liked runs fast.,6
The dog that the student liked that the girl scolded that the student scolded jumps high.,3
The cat that the dog liked runs fast.,1
The boy that the teacher liked that the cat chased that the student chased is reading.,3
The student that the girl liked that the cat chased that the student admired is barking.,3
The boy that the cat scolded that the cat liked that the girl admired that the girl admired that the teacher admired that the teacher chased that the cat admired that the student scolded runs fast.,8
The dog that the cat scolded that the dog scolded that the teacher scolded that the dog helped that the girl helped that the girl admired is barking.,6
The dog that the boy saw is studying.,1
The student that the girl liked that the student helped that the dog scolded that the dog admired that the boy admired that the dog saw that the girl scolded that the girl liked is studying.,8
The boy that the student chased is studying.,1
The student that the dog chased jumps high.,1
The girl that the boy liked that the teacher scolded that the girl admired that the student helped that the student chased that the boy helped is reading.,6
The boy that the student admired that the dog liked that the girl helped jumps high.,3
The boy that the dog liked is barking.,1
The teacher that the cat liked that the dog chased that the dog helped runs fast.,3
The teacher that the dog helped that the dog scolded that the cat scolded that the dog saw that the boy liked that the teacher scolded runs fast.,6
The boy that the student scolded that the dog scolded that the boy helped is reading.,3
The boy runs fast.,0
The student that the girl scolded that the teacher chased that the teacher scolded that the girl admired that the girl admired that the boy chased jumps high.,6
The teacher that the girl saw that the cat scolded that the girl saw that the boy scolded that the student liked that the boy scolded is reading.,6
The boy that the dog chased that the boy helped jumps high.,2
The cat runs fast.,0
The teacher that the boy scolded that the dog helped that the boy liked that the boy scolded that the girl helped is sleeping.,5
The cat that the student liked that the boy liked that the girl helped that the dog saw that the girl scolded that the boy scolded that the student admired is sleeping.,7
The student that the boy saw is reading.,1
The teacher that the dog saw that the boy liked is barking.,2
The teacher that the dog liked that the dog helped that the teacher admired that the cat admired that the girl scolded that the girl admired is barking.,6
The boy that the boy chased that the dog admired that the boy liked that the teacher chased that the dog liked that the boy scolded that the dog liked is barking.,7
The student that the boy chased that the cat scolded that the dog liked that the girl liked that the teacher helped runs fast.,5
The boy that the dog helped that the teacher helped that the teacher chased that the student liked runs fast.,4
The boy that the dog admired is barking.,1
The dog that the cat saw that the teacher scolded that the cat admired runs fast.,3
The dog that the boy helped that the girl scolded that the teacher liked that the teacher liked that the cat liked is barking.,5
The student that the boy saw that the teacher liked that the boy scolded that the teacher saw that the dog saw jumps high.,5
The teacher jumps high.,0
The boy that the dog admired that the girl liked runs fast.,2
The boy that the boy chased is sleeping.,1
The student that the boy helped that the teacher chased that the cat scolded runs fast.,3
The girl is studying.,0
The teacher that the girl scolded that the dog chased that the student scolded that the boy scolded that the girl admired that the student admired is reading.,6
The dog that the boy liked that the dog saw jumps high.,2
The girl that the student saw is studying.,1
The cat that the boy saw that the student saw that the cat chased that the teacher liked is barking.,4
The teacher that the cat saw that the boy helped runs fast.,2
The teacher that the teacher scolded that the boy helped that the girl admired that the student chased that the girl liked is sleeping.,5
The girl is studying.,0
The student that the boy chased that the girl helped that the teacher saw that the student chased that the dog saw that the teacher liked that the girl admired jumps high.,7
The teacher runs fast.,0
The student that the cat helped that the cat helped that the teacher saw that the cat scolded runs fast.,4
The dog that the teacher scolded that the boy liked that the girl liked that the dog chased that the boy admired runs fast.,5
The dog that the dog helped that the cat helped that the cat admired that the cat admired that the teacher chased that the dog liked that the cat admired is studying.,7
The dog that the teacher scolded that the girl liked is barking.,2
The girl that the girl scolded that the girl chased is barking.,2
The dog that the boy chased that the teacher helped is sleeping.,2
The student that the teacher liked that the teacher saw that the teacher chased is reading.,3
The dog that the cat saw is barking.,1
The girl that the dog liked that the girl scolded runs fast.,2
The boy jumps high.,0
The cat runs fast.,0
The student that the teacher liked runs fast.,1
The teacher that the dog helped that the girl admired is reading.,2
The girl that the cat admired that the dog scolded that the student chased runs fast.,3
The boy is reading.,0
The girl that the girl chased that the boy saw that the student liked that the boy chased is barking.,4
The boy that the cat saw is studying.,1
The girl that the girl helped that the student liked that the student chased that the teacher admired that the dog liked that the cat chased that the dog liked that the cat chased is studying.,8
The teacher that the teacher liked that the girl chased that the cat admired runs fast.,3
The dog that the girl saw that the dog chased that the teacher helped that the dog scolded that the girl liked that the cat chased that the girl liked is reading.,7
The boy that the student admired that the student liked that the student scolded that the teacher liked that the boy saw that the student helped is reading.,6
The cat that the student liked that the girl admired that the girl admired that the teacher chased that the cat admired that the teacher admired that the dog scolded that the teacher admired runs fast.,8
The girl that the dog saw is studying.,1
The boy that the teacher liked that the dog admired that the student helped that the boy scolded that the dog admired that the girl scolded that the dog admired is studying.,7
The dog that the boy admired is barking.,1
The student that the dog saw that the boy scolded is studying.,2
The teacher that the student admired jumps high.,1
The cat that the teacher scolded that the student liked that the cat saw that the boy scolded that the boy saw that the cat saw that the cat saw that the dog scolded runs fast.,8
The student that the boy liked that the boy liked that the dog helped that the student chased runs fast.,4
The girl that the cat helped that the student helped that the boy scolded that the student scolded that the cat scolded that the dog scolded that the boy scolded is studying.,7
The girl that the cat chased that the teacher saw that the teacher admired that the dog saw jumps high.,4
The dog is barking.,0
The girl that the girl admired that the dog admired that the boy saw that the cat chased that the boy liked is reading.,5
The teacher that the girl scolded that the boy helped that the girl scolded that the girl helped runs fast.,4
The student that the dog scolded that the dog scolded that the student helped that the teacher helped jumps high.,4
The teacher that the boy admired jumps high.,1
The teacher that the student admired jumps high.,1
The dog that the boy helped that the girl liked that the dog helped that the boy saw that the cat admired that the student saw is reading.,6
The student that the girl scolded that the teacher chased that the cat chased that the cat scolded that the cat admired that the dog saw that the student scolded is studying.,7
The dog is sleeping.,0
The dog that the cat admired that the dog chased that the teacher saw that the cat liked runs fast.,4
The cat that the teacher chased that the girl scolded that the dog liked that the cat saw that the teacher scolded is barking.,5
The cat that the student helped that the cat scolded that the student liked that the teacher saw that the cat chased that the student saw that the student admired is reading.,7
The student that the teacher chased that the dog liked that the girl liked is studying.,3
The boy that the student saw that the teacher scolded that the girl saw runs fast.,3
The girl that the dog chased that the girl saw that the student chased is sleeping.,3
The student that the dog scolded that the girl liked is sleeping.,2
The student that the cat saw that the girl liked jumps high.,2
The cat that the student saw that the dog liked that the girl scolded that the girl liked that the boy chased is studying.,5
The dog that the dog helped that the teacher liked that the girl liked is studying.,3
The cat that the girl admired that the dog liked that the teacher admired that the boy helped that the student helped that the dog saw that the cat liked that the girl saw is barking.,8
The teacher is barking.,0
The cat that the student liked that the teacher saw that the cat scolded that the teacher liked is barking.,4
The cat that the boy chased runs fast.,1
The girl that the boy scolded that the teacher admired jumps high.,2
The girl that the student admired that the cat chased that the teacher saw that the boy chased that the boy chased that the student chased that the girl admired that the teacher scolded is sleeping.,8
The student that the dog scolded that the girl scolded is sleeping.,2
