sentence,depth,length_words,type
The kind scientist spoke softly during class.,0,7,synthetic_center_embedding
The tall girl that the clever farmer that the tall student that the tall lawyer helped informed supported worked quietly during class.,3,22,synthetic_center_embedding
The driver rested briefly near the station.,0,7,synthetic_center_embedding
The serious farmer that the nervous farmer that the tall father that the nervous student that the serious girl supported reminded supported called slept peacefully before noon.,4,27,synthetic_center_embedding
The mother rested briefly during class.,0,6,synthetic_center_embedding
The tall child that the old child encouraged listened closely yesterday.,1,11,synthetic_center_embedding
The angry singer that the happy lawyer encouraged sat calmly this morning.,1,12,synthetic_center_embedding
The young child waited outside at night.,0,7,synthetic_center_embedding
The kind dog smiled warmly this morning.,0,7,synthetic_center_embedding
The kind doctor that the nervous manager called laughed loudly during class.,1,12,synthetic_center_embedding
The clever doctor that the clever boy that the serious teacher that the tall singer blamed admired saw sat calmly after dinner.,3,22,synthetic_center_embedding
The serious driver that the kind lawyer chased worked quietly yesterday.,1,11,synthetic_center_embedding
The serious actor that the old actor that the old neighbor that the tall cat visited followed encouraged read carefully at the office.,3,23,synthetic_center_embedding
The angry doctor that the old girl followed spoke softly after dinner.,1,12,synthetic_center_embedding
The clever mother that the old mother that the cat that the serious singer chased thanked recognized slept peacefully before noon.,3,21,synthetic_center_embedding
The kind driver that the curious girl blamed rested briefly this morning.,1,12,synthetic_center_embedding
The clever child that the kind dog that the artist that the nervous actor that the old cat that the young child visited saw praised thanked encouraged rested briefly before noon.,5,31,synthetic_center_embedding
The kind doctor that the curious lawyer followed smiled warmly before noon.,1,12,synthetic_center_embedding
The kind doctor that the serious girl encouraged walked slowly yesterday.,1,11,synthetic_center_embedding
The quiet child slept peacefully.,0,5,synthetic_center_embedding
The serious driver that the curious student that the angry child that the tall manager blamed called praised waited outside after dinner.,3,22,synthetic_center_embedding
The kind actor that the quiet artist that the cat questioned supported sat calmly at the office.,2,17,synthetic_center_embedding
The old artist rested briefly near the station.,0,8,synthetic_center_embedding
The young teacher ran away.,0,5,synthetic_center_embedding
The angry student that the actor that the young singer that the happy cat chased thanked praised read carefully at night.,3,21,synthetic_center_embedding
The tall lawyer that the curious actor informed ran away in the garden.,1,13,synthetic_center_embedding
The curious artist that the nervous scientist that the angry mother that the kind scientist that the angry dog that the serious teacher visited watched chased warned recognized walked slowly near the station.,5,33,synthetic_center_embedding
The quiet singer that the clever driver that the tall driver greeted encouraged stood silently this morning.,2,17,synthetic_center_embedding
The nervous scientist that the serious cat questioned spoke softly at the office.,1,13,synthetic_center_embedding
The quiet dog that the curious lawyer that the curious driver called informed walked slowly yesterday.,2,16,synthetic_center_embedding
The old cat smiled warmly.,0,5,synthetic_center_embedding
The young student that the dog recognized cried suddenly at night.,1,11,synthetic_center_embedding
The quiet singer that the young student helped waited outside after dinner.,1,12,synthetic_center_embedding
The young teacher that the clever actor recognized worked quietly this morning.,1,12,synthetic_center_embedding
The serious actor that the old cat that the quiet actor that the happy driver met praised greeted rested briefly in the garden.,3,23,synthetic_center_embedding
The clever teacher smiled warmly yesterday.,0,6,synthetic_center_embedding
The quiet boy that the happy boy that the young father admired watched cried suddenly this morning.,2,17,synthetic_center_embedding
The student that the young doctor that the nervous actor that the nervous student that the clever manager saw followed reminded questioned arrived early at night.,4,26,synthetic_center_embedding
The old manager stood silently during class.,0,7,synthetic_center_embedding
The curious doctor that the quiet dog that the engineer that the happy student that the tall artist helped saw helped thanked stood silently this morning.,4,26,synthetic_center_embedding
The clever lawyer spoke softly.,0,5,synthetic_center_embedding
The nervous artist that the serious dog that the serious student recognized admired rested briefly before noon.,2,17,synthetic_center_embedding
The clever neighbor that the tall driver informed stood silently after dinner.,1,12,synthetic_center_embedding
The happy doctor that the tall manager that the curious artist saw supported cried suddenly before noon.,2,17,synthetic_center_embedding
The happy driver that the young teacher reminded cried suddenly before noon.,1,12,synthetic_center_embedding
The happy teacher that the curious singer supported walked slowly at night.,1,12,synthetic_center_embedding
The old engineer that the clever mother questioned smiled warmly.,1,10,synthetic_center_embedding
The clever mother that the happy farmer that the young scientist that the kind teacher that the quiet teacher met blamed recognized questioned read carefully before noon.,4,27,synthetic_center_embedding
The angry mother that the clever doctor that the quiet child that the tall child encouraged helped greeted slept peacefully after dinner.,3,22,synthetic_center_embedding
The serious father that the angry actor that the nervous girl that the kind farmer warned called informed sat calmly after dinner.,3,22,synthetic_center_embedding
The curious mother that the serious dog that the quiet singer that the serious lawyer questioned met watched stood silently at night.,3,22,synthetic_center_embedding
The old scientist that the manager that the tall girl that the happy lawyer that the kind student admired watched encouraged informed listened closely at night.,4,26,synthetic_center_embedding
The kind scientist rested briefly.,0,5,synthetic_center_embedding
The happy father that the young lawyer visited sat calmly at the office.,1,13,synthetic_center_embedding
The happy neighbor that the kind cat informed sat calmly in the garden.,1,13,synthetic_center_embedding
The tall father that the tall artist that the nervous driver that the happy dog that the boy saw chased greeted watched slept peacefully during class.,4,26,synthetic_center_embedding
The boy that the angry teacher that the old cat that the old farmer supported followed warned rested briefly this morning.,3,21,synthetic_center_embedding
The serious dog that the serious doctor that the angry father that the happy dog recognized blamed watched rested briefly yesterday.,3,21,synthetic_center_embedding
The quiet lawyer that the old singer that the old child that the old cat followed informed watched read carefully at night.,3,22,synthetic_center_embedding
The tall girl worked quietly at the office.,0,8,synthetic_center_embedding
The tall child that the driver that the happy lawyer chased warned rested briefly before noon.,2,16,synthetic_center_embedding
The kind child that the clever teacher chased laughed loudly.,1,10,synthetic_center_embedding
The happy teacher that the clever lawyer that the clever farmer that the tall neighbor visited reminded met cried suddenly during class.,3,22,synthetic_center_embedding
The boy that the clever artist that the clever mother thanked met slept peacefully this morning.,2,16,synthetic_center_embedding
The curious manager arrived early at the office.,0,8,synthetic_center_embedding
The old scientist listened closely near the station.,0,8,synthetic_center_embedding
The kind actor that the young dog that the clever student that the tall artist thanked questioned blamed laughed loudly during class.,3,22,synthetic_center_embedding
The happy cat that the nervous lawyer that the angry dog that the serious dog that the happy neighbor called helped met supported worked quietly.,4,25,synthetic_center_embedding
The child slept peacefully during class.,0,6,synthetic_center_embedding
The old actor that the nervous student that the happy driver saw greeted waited outside during class.,2,17,synthetic_center_embedding
The old girl that the serious mother that the serious scientist saw praised spoke softly this morning.,2,17,synthetic_center_embedding
The curious child that the nervous girl admired laughed loudly this morning.,1,12,synthetic_center_embedding
The serious boy ran away near the station.,0,8,synthetic_center_embedding
The happy manager that the manager that the artist that the cat that the young father chased blamed encouraged recognized read carefully yesterday.,4,23,synthetic_center_embedding
The clever father that the curious father chased slept peacefully at the office.,1,13,synthetic_center_embedding
The scientist that the nervous engineer that the old driver that the kind cat followed warned supported read carefully at night.,3,21,synthetic_center_embedding
The quiet father ran away yesterday.,0,6,synthetic_center_embedding
The quiet teacher rested briefly before noon.,0,7,synthetic_center_embedding
The kind mother that the curious girl informed worked quietly before noon.,1,12,synthetic_center_embedding
The kind child that the kind scientist that the kind artist that the happy dog followed recognized supported waited outside in the garden.,3,23,synthetic_center_embedding
The father that the girl supported sat calmly before noon.,1,10,synthetic_center_embedding
The kind boy that the kind boy that the happy cat that the clever singer encouraged chased greeted rested briefly near the station.,3,23,synthetic_center_embedding
The nervous dog that the clever manager that the happy cat greeted admired slept peacefully after dinner.,2,17,synthetic_center_embedding
The nervous driver that the clever singer saw slept peacefully yesterday.,1,11,synthetic_center_embedding
The serious teacher that the old neighbor followed stood silently at night.,1,12,synthetic_center_embedding
The tall engineer that the curious manager questioned worked quietly near the station.,1,13,synthetic_center_embedding
The clever scientist that the serious lawyer warned sat calmly at the office.,1,13,synthetic_center_embedding
The serious father that the serious manager that the young cat that the nervous student that the tall dog saw reminded warned visited listened closely after dinner.,4,27,synthetic_center_embedding
The angry mother laughed loudly near the station.,0,8,synthetic_center_embedding
The curious father that the tall lawyer that the old teacher warned supported arrived early before noon.,2,17,synthetic_center_embedding
The clever neighbor that the doctor recognized laughed loudly near the station.,1,12,synthetic_center_embedding
The serious girl sat calmly after dinner.,0,7,synthetic_center_embedding
The clever doctor that the kind singer that the singer questioned saw laughed loudly during class.,2,16,synthetic_center_embedding
The young actor that the teacher that the young girl that the kind dog watched warned reminded cried suddenly at the office.,3,22,synthetic_center_embedding
The angry dog that the old child that the kind doctor that the kind singer that the young singer informed questioned greeted encouraged rested briefly at night.,4,27,synthetic_center_embedding
The kind student listened closely in the garden.,0,8,synthetic_center_embedding
The tall scientist that the happy lawyer that the young mother reminded called arrived early during class.,2,17,synthetic_center_embedding
The angry teacher smiled warmly near the station.,0,8,synthetic_center_embedding
The happy manager that the young mother that the clever neighbor that the curious neighbor that the young teacher met followed admired chased walked slowly at night.,4,27,synthetic_center_embedding
The old artist cried suddenly yesterday.,0,6,synthetic_center_embedding
The old neighbor that the old farmer that the tall father that the old cat thanked met questioned spoke softly yesterday.,3,21,synthetic_center_embedding
The happy father that the curious child that the happy mother thanked met spoke softly yesterday.,2,16,synthetic_center_embedding
The serious teacher slept peacefully before noon.,0,7,synthetic_center_embedding
The old engineer that the young scientist that the tall driver that the angry farmer chased praised supported spoke softly before noon.,3,22,synthetic_center_embedding
The serious farmer that the happy actor that the girl supported helped listened closely during class.,2,16,synthetic_center_embedding
The happy teacher that the curious child that the happy scientist helped called waited outside this morning.,2,17,synthetic_center_embedding
The curious singer waited outside near the station.,0,8,synthetic_center_embedding
The neighbor walked slowly at night.,0,6,synthetic_center_embedding
The clever student that the scientist saw rested briefly at night.,1,11,synthetic_center_embedding
The tall boy that the clever scientist that the serious artist visited met waited outside yesterday.,2,16,synthetic_center_embedding
The old father that the young boy that the mother warned greeted smiled warmly this morning.,2,16,synthetic_center_embedding
The happy mother that the old artist encouraged laughed loudly near the station.,1,13,synthetic_center_embedding
The young boy that the curious engineer that the quiet cat that the curious cat watched recognized greeted laughed loudly after dinner.,3,22,synthetic_center_embedding
The nervous dog that the happy driver that the clever mother followed chased waited outside in the garden.,2,18,synthetic_center_embedding
The old boy that the singer that the young engineer helped blamed walked slowly near the station.,2,17,synthetic_center_embedding
The quiet cat that the singer that the tall student met greeted cried suddenly after dinner.,2,16,synthetic_center_embedding
The old lawyer spoke softly near the station.,0,8,synthetic_center_embedding
The curious driver that the kind dog that the old manager thanked warned cried suddenly near the station.,2,18,synthetic_center_embedding
The angry manager that the boy informed smiled warmly yesterday.,1,10,synthetic_center_embedding
The nervous driver smiled warmly at the office.,0,8,synthetic_center_embedding
The nervous cat that the cat followed ran away before noon.,1,11,synthetic_center_embedding
The old dog that the curious child that the serious farmer that the curious manager helped chased watched smiled warmly at the office.,3,23,synthetic_center_embedding
The quiet boy spoke softly at the office.,0,8,synthetic_center_embedding
The kind manager read carefully before noon.,0,7,synthetic_center_embedding
The girl arrived early this morning.,0,6,synthetic_center_embedding
The old mother that the clever cat that the old driver that the clever manager that the happy father that the curious girl encouraged saw visited helped informed walked slowly during class.,5,32,synthetic_center_embedding
The mother that the happy scientist that the quiet doctor that the angry lawyer that the quiet actor saw saw admired informed waited outside before noon.,4,26,synthetic_center_embedding
The young child that the quiet artist that the serious teacher that the kind driver chased reminded admired laughed loudly.,3,20,synthetic_center_embedding
The quiet actor worked quietly yesterday.,0,6,synthetic_center_embedding
The serious engineer walked slowly yesterday.,0,6,synthetic_center_embedding
The angry dog that the quiet farmer that the serious mother that the clever actor that the quiet manager helped blamed praised saw smiled warmly before noon.,4,27,synthetic_center_embedding
The kind student that the nervous actor that the tall girl that the curious engineer followed watched recognized rested briefly at night.,3,22,synthetic_center_embedding
The young student that the angry father that the happy singer greeted chased spoke softly in the garden.,2,18,synthetic_center_embedding
The old lawyer cried suddenly at the office.,0,8,synthetic_center_embedding
The angry dog listened closely in the garden.,0,8,synthetic_center_embedding
The kind farmer that the serious singer reminded laughed loudly before noon.,1,12,synthetic_center_embedding
The tall mother that the tall lawyer that the happy student that the curious neighbor that the curious actor warned praised followed helped arrived early.,4,25,synthetic_center_embedding
The curious student that the kind neighbor supported smiled warmly near the station.,1,13,synthetic_center_embedding
The curious mother that the serious dog that the old singer questioned watched spoke softly near the station.,2,18,synthetic_center_embedding
The curious lawyer that the old mother that the kind manager that the curious girl blamed praised chased read carefully at the office.,3,23,synthetic_center_embedding
The clever teacher that the clever student reminded stood silently in the garden.,1,13,synthetic_center_embedding
The curious engineer that the happy actor that the engineer encouraged reminded walked slowly at the office.,2,17,synthetic_center_embedding
The curious doctor that the quiet cat visited smiled warmly during class.,1,12,synthetic_center_embedding
The old dog that the serious farmer that the serious singer encouraged encouraged arrived early before noon.,2,17,synthetic_center_embedding
The angry father that the clever doctor that the kind actor that the old teacher greeted praised admired arrived early.,3,20,synthetic_center_embedding
The happy girl rested briefly yesterday.,0,6,synthetic_center_embedding
The tall child that the happy girl that the tall mother that the clever neighbor met reminded informed listened closely before noon.,3,22,synthetic_center_embedding
The mother sat calmly.,0,4,synthetic_center_embedding
The kind driver ran away after dinner.,0,7,synthetic_center_embedding
The teacher that the angry neighbor that the girl that the angry cat praised blamed saw spoke softly after dinner.,3,20,synthetic_center_embedding
The serious teacher that the angry doctor reminded ran away at the office.,1,13,synthetic_center_embedding
The curious child that the kind dog informed stood silently yesterday.,1,11,synthetic_center_embedding
The young scientist that the curious scientist recognized worked quietly at the office.,1,13,synthetic_center_embedding
The angry doctor that the old child that the old mother that the serious farmer supported supported met cried suddenly after dinner.,3,22,synthetic_center_embedding
The kind mother that the happy teacher recognized sat calmly after dinner.,1,12,synthetic_center_embedding
The serious singer smiled warmly this morning.,0,7,synthetic_center_embedding
The nervous neighbor that the young dog recognized rested briefly yesterday.,1,11,synthetic_center_embedding
The curious lawyer waited outside.,0,5,synthetic_center_embedding
The tall scientist that the angry lawyer chased listened closely after dinner.,1,12,synthetic_center_embedding
The curious driver that the clever child that the happy farmer followed watched sat calmly after dinner.,2,17,synthetic_center_embedding
The kind student that the quiet engineer that the clever dog that the angry child that the kind father chased visited thanked helped stood silently yesterday.,4,26,synthetic_center_embedding
The happy dog ran away before noon.,0,7,synthetic_center_embedding
The old teacher that the young doctor greeted sat calmly during class.,1,12,synthetic_center_embedding
The quiet mother that the serious actor that the serious engineer that the tall mother that the young boy recognized followed admired supported arrived early during class.,4,27,synthetic_center_embedding
The curious teacher laughed loudly at night.,0,7,synthetic_center_embedding
The clever artist that the old father that the tall engineer that the kind girl followed admired thanked waited outside yesterday.,3,21,synthetic_center_embedding
The quiet girl worked quietly.,0,5,synthetic_center_embedding
The clever child that the nervous lawyer that the quiet artist that the young father met informed informed smiled warmly yesterday.,3,21,synthetic_center_embedding
The boy arrived early.,0,4,synthetic_center_embedding
The serious driver that the clever farmer followed stood silently near the station.,1,13,synthetic_center_embedding
The kind child that the curious engineer that the tall engineer that the angry dog met thanked informed smiled warmly near the station.,3,23,synthetic_center_embedding
The angry artist that the nervous girl that the happy farmer that the happy boy questioned supported saw spoke softly near the station.,3,23,synthetic_center_embedding
The nervous singer that the actor that the curious doctor that the quiet teacher that the nervous boy that the old lawyer chased greeted thanked informed helped listened closely.,5,29,synthetic_center_embedding
The happy cat that the curious student that the happy girl warned chased sat calmly.,2,15,synthetic_center_embedding
The curious student that the curious cat that the serious actor that the kind teacher reminded watched praised worked quietly at night.,3,22,synthetic_center_embedding
The angry girl that the angry singer that the tall driver watched thanked arrived early after dinner.,2,17,synthetic_center_embedding
The nervous father that the happy teacher that the kind neighbor visited warned waited outside after dinner.,2,17,synthetic_center_embedding
The tall farmer that the lawyer that the clever girl that the serious driver saw supported warned spoke softly in the garden.,3,22,synthetic_center_embedding
The kind lawyer that the angry farmer watched arrived early before noon.,1,12,synthetic_center_embedding
The nervous manager that the happy actor that the young mother that the serious lawyer recognized supported visited read carefully during class.,3,22,synthetic_center_embedding
The kind scientist that the serious dog that the young girl questioned chased ran away near the station.,2,18,synthetic_center_embedding
The nervous child that the old student that the serious dog that the happy teacher informed thanked chased read carefully before noon.,3,22,synthetic_center_embedding
The curious artist arrived early during class.,0,7,synthetic_center_embedding
The young farmer that the happy neighbor that the quiet teacher that the clever actor that the old dog helped called helped helped cried suddenly at the office.,4,28,synthetic_center_embedding
The curious boy that the old lawyer visited listened closely during class.,1,12,synthetic_center_embedding
The quiet father that the old doctor that the young cat that the happy artist thanked praised admired read carefully at the office.,3,23,synthetic_center_embedding
The quiet dog that the curious artist that the nervous singer that the boy saw supported praised ran away during class.,3,21,synthetic_center_embedding
The curious girl that the serious child saw worked quietly at the office.,1,13,synthetic_center_embedding
The serious child that the curious student that the nervous child supported helped listened closely after dinner.,2,17,synthetic_center_embedding
The angry manager laughed loudly in the garden.,0,8,synthetic_center_embedding
The tall girl sat calmly at the office.,0,8,synthetic_center_embedding
The nervous manager that the curious actor that the tall artist chased blamed laughed loudly before noon.,2,17,synthetic_center_embedding
The old cat that the clever mother that the kind cat watched followed walked slowly this morning.,2,17,synthetic_center_embedding
The angry girl that the serious driver chased laughed loudly yesterday.,1,11,synthetic_center_embedding
The clever artist that the tall engineer that the clever actor questioned admired read carefully.,2,15,synthetic_center_embedding
The mother stood silently after dinner.,0,6,synthetic_center_embedding
The young dog that the serious father encouraged worked quietly.,1,10,synthetic_center_embedding
The angry manager that the tall manager that the old doctor chased saw waited outside after dinner.,2,17,synthetic_center_embedding
The quiet singer that the old father that the kind neighbor that the quiet student that the serious mother questioned watched greeted questioned stood silently yesterday.,4,26,synthetic_center_embedding
The nervous teacher that the old boy that the curious driver that the old child recognized thanked met ran away.,3,20,synthetic_center_embedding
The serious student that the tall scientist visited spoke softly at the office.,1,13,synthetic_center_embedding
The clever girl arrived early.,0,5,synthetic_center_embedding
The kind dog that the tall artist chased smiled warmly at night.,1,12,synthetic_center_embedding
The old artist spoke softly before noon.,0,7,synthetic_center_embedding
The young lawyer waited outside during class.,0,7,synthetic_center_embedding
The kind artist that the angry dog that the quiet lawyer questioned praised stood silently during class.,2,17,synthetic_center_embedding
The quiet artist that the old father met walked slowly this morning.,1,12,synthetic_center_embedding
The old cat that the curious farmer helped ran away at the office.,1,13,synthetic_center_embedding
The happy boy that the happy child chased sat calmly near the station.,1,13,synthetic_center_embedding
The nervous singer that the quiet father that the artist that the old scientist recognized chased reminded slept peacefully in the garden.,3,22,synthetic_center_embedding
The kind boy read carefully at the office.,0,8,synthetic_center_embedding
The young farmer that the quiet neighbor that the nervous singer that the farmer that the kind engineer blamed encouraged informed blamed smiled warmly before noon.,4,26,synthetic_center_embedding
The curious doctor that the clever manager that the serious mother praised praised sat calmly this morning.,2,17,synthetic_center_embedding
The young student that the happy student reminded cried suddenly before noon.,1,12,synthetic_center_embedding
The angry boy that the happy farmer that the old child that the serious girl reminded thanked thanked sat calmly at the office.,3,23,synthetic_center_embedding
The angry engineer that the young boy informed cried suddenly in the garden.,1,13,synthetic_center_embedding
The old scientist that the kind boy that the young artist that the serious singer that the old farmer that the nervous father followed greeted encouraged admired watched slept peacefully in the garden.,5,33,synthetic_center_embedding
The angry lawyer that the quiet lawyer saw ran away yesterday.,1,11,synthetic_center_embedding
The happy singer that the tall cat met smiled warmly this morning.,1,12,synthetic_center_embedding
The angry scientist that the angry driver thanked spoke softly after dinner.,1,12,synthetic_center_embedding
The happy dog that the nervous dog that the kind neighbor that the kind engineer reminded thanked reminded listened closely in the garden.,3,23,synthetic_center_embedding
The student that the old dog that the curious mother that the curious farmer that the serious engineer reminded visited saw questioned arrived early near the station.,4,27,synthetic_center_embedding
The young cat cried suddenly at the office.,0,8,synthetic_center_embedding
The tall dog arrived early at night.,0,7,synthetic_center_embedding
The clever singer that the serious scientist that the nervous farmer recognized blamed sat calmly near the station.,2,18,synthetic_center_embedding
The old student that the kind doctor that the actor that the nervous singer saw supported informed sat calmly at night.,3,21,synthetic_center_embedding
The nervous child that the curious boy blamed smiled warmly.,1,10,synthetic_center_embedding
The student that the nervous engineer visited read carefully after dinner.,1,11,synthetic_center_embedding
The happy artist stood silently in the garden.,0,8,synthetic_center_embedding
The kind singer that the angry cat thanked worked quietly yesterday.,1,11,synthetic_center_embedding
The nervous neighbor that the quiet neighbor that the young singer that the kind student that the old student admired supported recognized saw slept peacefully yesterday.,4,26,synthetic_center_embedding
The kind student that the serious cat that the quiet boy that the happy actor that the nervous student greeted helped praised encouraged read carefully after dinner.,4,27,synthetic_center_embedding
The nervous cat that the nervous engineer that the cat that the curious actor that the tall teacher praised chased admired helped worked quietly after dinner.,4,26,synthetic_center_embedding
The quiet singer waited outside this morning.,0,7,synthetic_center_embedding
The serious artist that the tall boy that the happy boy encouraged reminded smiled warmly before noon.,2,17,synthetic_center_embedding
The tall lawyer that the angry doctor that the curious cat that the old child thanked called saw laughed loudly.,3,20,synthetic_center_embedding
The angry engineer spoke softly after dinner.,0,7,synthetic_center_embedding
The old farmer that the engineer that the tall farmer that the kind child greeted called thanked read carefully this morning.,3,21,synthetic_center_embedding
The tall student that the serious father that the girl recognized reminded arrived early during class.,2,16,synthetic_center_embedding
The serious teacher that the kind artist that the young neighbor that the quiet cat encouraged saw chased rested briefly yesterday.,3,21,synthetic_center_embedding
The nervous manager arrived early during class.,0,7,synthetic_center_embedding
The happy singer that the young artist that the young mother that the manager that the quiet farmer encouraged met praised admired rested briefly near the station.,4,27,synthetic_center_embedding
The girl that the kind artist that the serious singer that the clever girl that the young artist that the young engineer followed greeted reminded informed visited ran away near the station.,5,32,synthetic_center_embedding
The curious lawyer that the old father that the quiet neighbor that the lawyer that the curious dog greeted warned questioned recognized ran away at night.,4,26,synthetic_center_embedding
The tall student that the curious farmer that the serious singer blamed greeted slept peacefully near the station.,2,18,synthetic_center_embedding
The old actor that the tall farmer praised stood silently before noon.,1,12,synthetic_center_embedding
The angry child slept peacefully before noon.,0,7,synthetic_center_embedding
The dog that the serious student visited arrived early this morning.,1,11,synthetic_center_embedding
The old scientist that the angry driver praised cried suddenly at night.,1,12,synthetic_center_embedding
The quiet child that the tall actor that the young scientist informed thanked sat calmly after dinner.,2,17,synthetic_center_embedding
The tall student that the nervous cat that the kind child that the curious girl recognized reminded recognized walked slowly near the station.,3,23,synthetic_center_embedding
The angry cat that the nervous artist that the old child that the clever dog followed warned followed smiled warmly yesterday.,3,21,synthetic_center_embedding
The serious driver spoke softly at the office.,0,8,synthetic_center_embedding
The tall manager that the kind scientist that the angry scientist that the curious lawyer watched thanked praised walked slowly this morning.,3,22,synthetic_center_embedding
The nervous child that the father that the scientist thanked recognized waited outside yesterday.,2,14,synthetic_center_embedding
The teacher that the quiet child that the clever artist that the curious father supported recognized blamed waited outside in the garden.,3,22,synthetic_center_embedding
The tall actor that the curious cat that the clever teacher visited chased waited outside during class.,2,17,synthetic_center_embedding
The old student listened closely.,0,5,synthetic_center_embedding
The serious boy that the serious father that the curious actor that the angry actor informed chased saw worked quietly in the garden.,3,23,synthetic_center_embedding
The nervous singer that the serious child that the happy teacher that the angry neighbor saw chased met arrived early.,3,20,synthetic_center_embedding
The serious teacher laughed loudly at night.,0,7,synthetic_center_embedding
The curious neighbor that the quiet artist that the old child watched visited smiled warmly near the station.,2,18,synthetic_center_embedding
The quiet scientist that the kind driver admired rested briefly during class.,1,12,synthetic_center_embedding
The clever driver sat calmly in the garden.,0,8,synthetic_center_embedding
The quiet engineer that the tall cat that the angry artist met warned laughed loudly after dinner.,2,17,synthetic_center_embedding
The tall student that the young driver that the angry singer that the kind teacher warned thanked praised rested briefly near the station.,3,23,synthetic_center_embedding
The kind teacher that the kind manager that the tall scientist praised supported smiled warmly at the office.,2,18,synthetic_center_embedding
The curious cat slept peacefully this morning.,0,7,synthetic_center_embedding
The angry farmer that the kind student that the nervous teacher recognized supported listened closely before noon.,2,17,synthetic_center_embedding
The angry engineer that the tall farmer that the lawyer that the serious actor that the angry doctor reminded followed chased recognized listened closely.,4,24,synthetic_center_embedding
The happy student that the manager that the angry engineer that the kind lawyer encouraged visited praised worked quietly at the office.,3,22,synthetic_center_embedding
The quiet child that the young scientist that the curious child that the clever boy that the tall farmer met followed followed praised spoke softly before noon.,4,27,synthetic_center_embedding
The angry mother that the angry girl that the clever father informed thanked rested briefly near the station.,2,18,synthetic_center_embedding
The old child sat calmly at night.,0,7,synthetic_center_embedding
The serious doctor that the quiet dog that the nervous manager called saw laughed loudly this morning.,2,17,synthetic_center_embedding
